SYMPTOM,RANGE,HPO,ENG_NAME
microcephaly [< 2SD for age],,HP:0000252,Microcephaly
mouth,large,HP:0000154,Wide mouth
muscle,weakness,HP:0001324,Muscle weakness
"myelination, incomplete",,HP:0012447,Abnormal myelination
myocarditits,,HP:0012819,Myocarditis
"myopathy, ragged red fibers",,HP:0003200,Ragged-red muscle fibers
nasal bridge,broad,HP:0000431,Wide nasal bridge
neprhrotic syndrome,,HP:0000100,Nephrotic syndrome
neurologic defect,,HP:0012638,Abnormality of nervous system physiology
no clinical signs or symptoms,,,
non-progressive hearing defect,,HP:0000365,Hearing impairment
normal at birth,,,
nose bleed,,HP:0000421,Epistaxis
obstructive airway disease,,obstructive airway disease,Obstructive lung disease
obstructive airway disease,,HP:0002781,Upper airway obstruction
obstructive airway disease,,HP:0006541,Chronic obstructive airway disease from birth
odor unusual,,HP:0500001,Body odor
oesophageal atresia,,HP:0002032,Esophageal atresia
"oral infections, gangrene",,HP:0010280,Stomatitis
"oral infections, gangrene",,HP:0100758,Gangrene
"osteodystrophy, renal",,HP:0002652,Skeletal dysplasia
"osteodystrophy, renal",,HP:0000077,Abnormality of the kidney
oxygen therapy as neonate,,HP:0012418,Hypoxemia
pain abdominal,,HP:0002027,Abdominal pain
pain bones,,HP:0002653,Bone pain
pain muscle,,HP:0003326,Myalgia
paraparesis/paraplegia,,HP:0010551,Paraplegia/paraparesis
peritoneal effusions,,HP:0030995,Peritoneal effusion
photophobia or photosensitive defect in light-exposed area,,HP:0000613,Photophobia
"pigmentation, skin and sclera",,HP:0001000,Abnormality of skin pigmentation
"pigmentation, skin and sclera",,HP:0007832,Pigmentation of the sclera
pleural effusions,,HP:0002202,Pleural effusion
polydipsia [increased drinking],,HP:0001959,Polydipsia
poor crying,,HP:0030215,Inappropriate crying
"preeclampsia, maternal",,HP:0100602,Preeclampsia
pregnancy,,,
prematurity,,HP:0001622,Premature birth
previous deaths,,,
progressive eye defect,,HP:0000529,Progressive visual loss
progressive neurologic defect,,HP:0002344,Progressive neurologic deterioration
ptosis [dropping eyelid],,HP:0000508,Ptosis
"pulmonary valve, stenosis",,HP:0001642,Pulmonic stenosis
reflux,,HP:0002020,Gastroesophageal reflux
"renal failure, acute/chronic",,HP:0001919,Acute kidney injury
"renal failure, acute/chronic",,HP:0012622,Chronic kidney disease
retinal or macular degeneration,,HP:0000608,Macular degeneration
retinal or macular degeneration,,HP:0000546,Retinal degeneration
seborrhoic skin rash,,HP:0001051,Seborrheic dermatitis
semian crease,,HP:0000954,Single transverse palmar crease
sepsis [E.coli],,HP:0100806,Sepsis
skeletal changes,,HP:0011842,Abnormality of skeletal morphology
skin,defect on face or ear [not forehead],HP:0011356,Regional abnormality of skin
solitary or localized skin defect,,HP:0011355,Localized skin lesion
sparse or absent scalp hair [focal or general],,HP:0002209,Sparse scalp hair
spastic diplegia/quadriplegia,,HP:0001264,Spastic diplegia
spastic diplegia/quadriplegia,,HP:0002510,Spastic tetraplegia
"speech development, delayed, abnormal",,HP:0000750,Delayed speech and language development
stature,short,HP:0004322,Short stature
stomatitits,,HP:0010280,Stomatitis
stool color,,HP:0012719,Functional abnormality of the gastrointestinal tract
"tachycardia, paroxysmal",,HP:0006688,Paroxysmal tachycardia
tetrahydrobiopterin-sensitivity,,,
transaminases,yes,HP:0002910,Elevated hepatic transaminases
tremor or twitching,,HP:0001337,Tremor
tubulopathy,,HP:0000091,Abnormality of the renal tubule
urine,brown or black,HP:0040319,Dark urine
vertebral changes,,HP:0003468,Abnormal vertebral morphology
"vertigo, dizziness",,HP:0002321,Vertigo
"weight for age, height and sex [> or < 2SD]",decreased [or absent],HP:0001824,Weight loss
cryptorchism,,HP:0000028,Cryptorchidism
hypospadia,,HP:0000047,Hypospadias
micropenis,,HP:0000054,Micropenis
polyuria,,HP:0000103,Polyuria
large kidneys,,HP:0000105,Enlarged kidney
renal cysts,,HP:0000107,Renal cyst
nephrocalcinosis,,HP:0000121,Nephrocalcinosis
nephritis,,HP:0000123,Nephritis
hydronephrosis,,HP:0000126,Hydronephrosis
polycystic ovaries,,HP:0000147,Polycystic ovaries
cleft palate,,HP:0000175,Cleft palate
hydrocephalus,,HP:0000238,Hydrocephalus
retrognathia,,HP:0000278,Retrognathia
coarse facial features,,HP:0000280,Coarse facial features
hypertelorism,,HP:0000316,Hypertelorism
high forehead,,HP:0000348,High forehead
low set ears,,HP:0000369,Low-set ears
torticollis,,HP:0000473,Torticollis
strabismus,,HP:0000486,Strabismus
retinopathy,,HP:0000488,Retinopathy
keratitis,,HP:0000491,Keratitis
glaucoma,,HP:0000501,Glaucoma
conjunctivitis,,HP:0000509,Conjunctivitis
retinitis pigmentosa,,HP:0000510,Rod-cone dystrophy
cataract,,HP:0000518,Cataract
lens opacities,,HP:0000518,Cataract
hyperopia,,HP:0000540,Hypermetropia
myopia,,HP:0000545,Myopia
ophthalmoplegia,,HP:0000602,Ophthalmoplegia
blue eyes,,HP:0000635,Blue irides
nystagmus,,HP:0000639,Nystagmus
optic atrophy,,HP:0000648,Optic atrophy
night blindness,,HP:0000662,Nyctalopia
dental caries,,HP:0000670,Carious teeth
psychosis,,HP:0000709,Psychosis
dementia,,HP:0000726,Dementia
irritability,,HP:0000737,Irritability
hematuria,,HP:0000790,Hematuria
diabetes mellitus,,HP:0000819,Diabetes mellitus
hypothyroidism,,HP:0000821,Hypothyroidism
hypertension,,HP:0000822,Hypertension
osteoporosis,,HP:0000939,Osteoporosis
dysostosis multiplex,,HP:0000943,Dysostosis multiplex
jaundice,,HP:0000952,Jaundice
cyanosis,,HP:0000961,Cyanosis
hyperkeratosis,,HP:0000962,Hyperkeratosis
hypohidrosis,,HP:0000966,Hypohidrosis
petechiae,,HP:0000967,Petechiae
edema,,HP:0000969,Edema
sweating,,HP:0000975,Hyperhidrosis
pallor,,HP:0000980,Pallor
hypertrichosis,,HP:0000998,Hypertrichosis
hypotrichosis,,HP:0001006,Hypotrichosis
nevus flammeus,,HP:0001052,Nevus flammeus
acne,,HP:0001061,Acne
syndactyly,,HP:0001159,Syndactyly
arachnodactyly,,HP:0001166,Arachnodactyly
mental retardation,,HP:0001249,Intellectual disability
seizures,,HP:0001250,Seizures
ataxia,,HP:0001251,Ataxia
coma,,HP:0001259,Coma
dysarthria,,HP:0001260,Dysarthria
hyporeflexia,,HP:0001265,Hyporeflexia
motor retardation,,HP:0001270,Motor delay
tetany,,HP:0001281,Tetany
areflexia,,HP:0001284,Areflexia
hypotonia,,HP:0001290,Generalized hypotonia
encephalopathy,,HP:0001298,Encephalopathy
cerebellar signs,,HP:0001317,Abnormality of the cerebellum
dystonia,,HP:0001332,Dystonia
kernicterus,,HP:0001343,Kernicterus
hyperreflexia,,HP:0001347,Hyperreflexia
hip dysplasia,,HP:0001385,Hip dysplasia
cholestasis,,HP:0001396,Cholestasis
liver failure,,HP:0001399,Hepatic failure
failure to thrive,,HP:0001508,Failure to thrive
growth retardation,,HP:0001510,Growth delay
obesity,,HP:0001513,Obesity
macrosomia,,HP:0001520,Large for gestational age
ascites,,HP:0001541,Ascites
alopecia,,HP:0001596,Alopecia
hair loss,,HP:0001596,Alopecia
shortened gestation time,,HP:0001622,Premature birth
congenital heart defect,,HP:0001627,Abnormal heart morphology
ventricular septal defect,,HP:0001629,Ventricular septal defect
atrial septal defect,,HP:0001631,Atrial septal defect
heart failure,,HP:0001635,Congestive heart failure
cardiomyopathy,,HP:0001638,Cardiomyopathy
cardiomegaly,,HP:0001640,Cardiomegaly
tachycardia,,HP:0001649,Tachycardia
valvular heart disease,,HP:0001654,Abnormality of the heart valves
myocardial infarction,,HP:0001658,Myocardial infarction
bradycardia,,HP:0001662,Bradycardia
cardiac arrest,,HP:0001695,Cardiac arrest
pericardial effusion,,HP:0001698,Pericardial effusion
sudden death,,HP:0001699,Sudden death
pancreatitis,,HP:0001733,Pancreatitis
pancreatic insufficiency,,HP:0001738,Exocrine pancreatic insufficiency
foot deformities,,HP:0001760,Abnormality of the foot
weight loss,,HP:0001824,Weight loss
neutropenia,,HP:0001875,Neutropenia
anemia,,HP:0001903,Anemia
thromboembolism,,HP:0001907,Thromboembolism
metabolic acidosis,,HP:0001942,Metabolic acidosis
hypoglycemia,,HP:0001943,Hypoglycemia
dehydration,,HP:0001944,Dehydration
Fever,,HP:0001945,Fever
hyperthermia,,HP:0001945,Fever
respiratory alkalosis,,HP:0001950,Respiratory alkalosis
gout,,HP:0001997,Gout
vomiting,,HP:0002013,Vomiting
diarrhea,,HP:0002014,Diarrhea
constipation,,HP:0002019,Constipation
pyloric stenosis,,HP:0002021,Pyloric stenosis
intestinal malabsorption,,HP:0002024,Malabsorption
anorexia,,HP:0002039,Anorexia
hypothermia,,HP:0002045,Hypothermia
cerebral atrophy,,HP:0002059,Cerebral atrophy
extrapyramidal signs,,HP:0002071,Abnormality of extrapyramidal motor function
pneumonia,,HP:0002090,Pneumonia
respiratory insufficiency,,HP:0002093,Respiratory insufficiency
dyspnea,,HP:0002094,Dyspnea
respiratory distress,,HP:0002098,Respiratory distress
apnea,,HP:0002104,Apnea
opisthotonus,,HP:0002179,Opisthotonus
cerebral edema,,HP:0002181,Cerebral edema
hematemesis,,HP:0002248,Hematemesis
athetosis,,HP:0002305,Athetosis
Headache,,HP:0002315,Headache
Headache,migraine,HP:0002076,Migraine
Headache,recurrent or occipital,HP:0012318,Occipital neuralgia
neurologic deterioration,,HP:0002344,Progressive neurologic deterioration
fasciculations,,HP:0002380,Fasciculations
strokelike episodes,,HP:0002401,Stroke-like episode
ileus,,HP:0002595,Ileus
hypotension,,HP:0002615,Hypotension
high arched palate,,HP:0002705,"High, narrow palate"
tachypnea,,HP:0002789,Tachypnea
arthralgia,,HP:0002829,Arthralgia
myopathy,,HP:0003198,Myopathy
rhabdomyolysis,,HP:0003201,Rhabdomyolysis
abdominal distension,,HP:0003270,Abdominal distention
paresthesia,,HP:0003401,Paresthesia
dwarfism,,HP:0003510,Severe short stature
hypersalivation,,HP:0003781,Excessive salivation
peripheral vascular disease,,HP:0004950,Peripheral arterial stenosis
respiratory acidosis,,HP:0005972,Respiratory acidosis
ichthyosis,,HP:0008064,Ichthyosis
peripheral neuropathy,,HP:0009830,Peripheral neuropathy
stridor,,HP:0010307,Stridor
polydactyly,,HP:0010442,Polydactyly
facial nerve palsy,,HP:0010628,Facial palsy
infantile spasms,,HP:0012469,Infantile spasms
dyskinesia,,HP:0100660,Dyskinesia
hernia,,HP:0100790,Hernia
sepsis,,HP:0100806,Sepsis
metabolic alkalosis,,HP:0200114,Metabolic alkalosis
